Date,Close/Last,Open,High,Low
2023-05-09,4119.17,4124.25,4130.35,4116.65
2023-05-08,4138.12,4136.98,4142.3,4123.81
2023-05-05,4136.25,4084.73,4147.02,4084.73
2023-05-04,4061.22,4082.55,4082.61,4048.28
2023-05-03,4090.75,4122.25,4148.3,4088.86
2023-05-02,4119.58,4164.1,4164.1,4089.72
2023-05-01,4167.87,4166.79,4186.92,4164.12
2023-04-28,4169.48,4129.63,4170.06,4127.18
2023-04-27,4135.35,4075.29,4138.24,4075.29
2023-04-26,4055.99,4087.78,4089.67,4049.35
2023-04-25,4071.63,4126.43,4126.43,4071.38
2023-04-24,4137.04,4132.07,4142.41,4117.77
2023-04-21,4133.52,4132.14,4138.02,4113.86
2023-04-20,4129.79,4130.48,4148.57,4114.57
2023-04-19,4154.52,4139.33,4162.57,4134.49
2023-04-18,4154.87,4164.26,4169.48,4140.36
2023-04-17,4151.32,4137.17,4151.72,4123.18
2023-04-14,4137.64,4140.11,4163.19,4113.2
2023-04-13,4146.22,4100.04,4150.26,4099.4
2023-04-12,4091.95,4121.72,4134.37,4086.94
2023-04-11,4108.94,4110.29,4124.26,4102.61
2023-04-10,4109.11,4085.2,4109.5,4072.55
2023-04-06,4105.02,4081.15,4107.32,4069.84
2023-04-05,4090.38,4094.5,4099.69,4072.56
2023-04-04,4100.6,4128.03,4133.13,4086.87
2023-04-03,4124.51,4102.2,4127.66,4098.79
2023-03-31,4109.31,4056.18,4110.75,4056.18
2023-03-30,4050.83,4046.74,4057.85,4032.1
2023-03-29,4027.81,3999.53,4030.59,3999.53
2023-03-28,3971.27,3974.13,3979.2,3951.53
2023-03-27,3977.53,3982.93,4003.83,3970.49
2023-03-24,3970.99,3939.21,3972.74,3909.16
2023-03-23,3948.72,3959.21,4007.66,3919.05
2023-03-22,3936.97,4002.04,4039.49,3936.17
2023-03-21,4002.87,3975.89,4009.08,3971.19
2023-03-20,3951.57,3917.47,3956.62,3916.89
2023-03-17,3916.64,3958.69,3958.91,3901.27
2023-03-16,3960.28,3878.93,3964.46,3864.11
2023-03-15,3891.93,3876.74,3894.26,3838.24
2023-03-14,3919.29,3894.01,3937.29,3873.63
2023-03-13,3855.76,3835.12,3905.05,3808.86
2023-03-10,3861.59,3912.77,3934.05,3846.32
2023-03-09,3918.32,3998.66,4017.81,3908.7
2023-03-08,3992.01,3987.55,4000.41,3969.76
2023-03-07,3986.37,4048.26,4050.0,3980.31
2023-03-06,4048.42,4055.15,4078.49,4044.61
2023-03-03,4045.64,3998.02,4048.29,3995.17
2023-03-02,3981.35,3938.68,3990.84,3928.16
2023-03-01,3951.39,3963.34,3971.73,3939.05
2023-02-28,3970.15,3977.19,3997.5,3968.98
2023-02-27,3982.24,3992.36,4018.05,3973.55
2023-02-24,3970.04,3973.24,3978.25,3943.08
2023-02-23,4012.32,4018.6,4028.3,3969.19
2023-02-22,3991.05,4001.83,4017.37,3976.9
2023-02-21,3997.34,4052.35,4052.35,3995.19
2023-02-17,4079.09,4077.39,4081.51,4047.95
2023-02-16,4090.41,4114.75,4136.54,4089.49
2023-02-15,4147.6,4119.5,4148.11,4103.98
2023-02-14,4136.13,4126.7,4159.77,4095.01
2023-02-13,4137.29,4096.62,4138.9,4092.67
2023-02-10,4090.46,4068.92,4094.36,4060.79
2023-02-09,4081.5,4144.25,4156.23,4069.67
2023-02-08,4117.86,4153.47,4156.85,4111.67
2023-02-07,4164.0,4105.35,4176.54,4088.39
2023-02-06,4111.08,4119.57,4124.63,4093.38
2023-02-03,4136.48,4136.69,4182.36,4123.36
2023-02-02,4179.76,4158.68,4195.44,4141.88
2023-02-01,4119.21,4070.07,4148.95,4037.2
2023-01-31,4076.6,4020.85,4077.16,4020.44
2023-01-30,4017.77,4049.27,4063.85,4015.55
2023-01-27,4070.56,4053.72,4094.21,4048.7
2023-01-26,4060.43,4036.08,4061.57,4013.29
2023-01-25,4016.22,3982.71,4019.55,3949.06
2023-01-24,4016.95,4001.74,4023.92,3989.79
2023-01-23,4019.81,3978.14,4039.31,3971.64
2023-01-20,3972.61,3909.04,3972.96,3897.86
2023-01-19,3898.85,3911.84,3922.94,3885.54
2023-01-18,3928.86,4002.25,4014.16,3926.59
2023-01-17,3990.97,3999.28,4015.39,3984.57
2023-01-13,3999.09,3960.6,4003.95,3947.67
2023-01-12,3983.17,3977.57,3997.76,3937.56
2023-01-11,3969.61,3932.35,3970.07,3928.54
2023-01-10,3919.25,3888.57,3919.83,3877.29
2023-01-09,3892.09,3910.82,3950.57,3890.42
2023-01-06,3895.08,3823.37,3906.19,3809.56
2023-01-05,3808.1,3839.74,3839.74,3802.42
2023-01-04,3852.97,3840.36,3873.16,3815.77
2023-01-03,3824.14,3853.29,3878.46,3794.33
2022-12-30,3839.5,3829.06,3839.85,3800.34
2022-12-29,3849.28,3805.45,3858.19,3805.45
2022-12-28,3783.22,3829.56,3848.32,3780.78
2022-12-27,3829.25,3843.34,3846.65,3813.22
2022-12-23,3844.82,3815.11,3845.8,3797.01
2022-12-22,3822.39,3853.26,3853.26,3764.49
2022-12-21,3878.44,3839.49,3889.82,3839.49
2022-12-20,3821.62,3810.47,3838.24,3795.62
2022-12-19,3817.66,3853.79,3854.86,3800.04
2022-12-16,3852.36,3890.91,3890.91,3827.91
2022-12-15,3895.75,3958.37,3958.37,3879.45
2022-12-14,3995.32,4015.54,4053.76,3965.65
2022-12-13,4019.65,4069.38,4100.96,3993.03
2022-12-12,3990.56,3939.29,3990.71,3935.3
2022-12-09,3934.38,3954.17,3977.02,3933.04
2022-12-08,3963.51,3947.79,3974.19,3935.83
2022-12-07,3933.92,3933.28,3957.57,3922.68
2022-12-06,3941.26,3996.63,4001.51,3918.39
2022-12-05,3998.84,4052.02,4052.45,3984.49
2022-12-02,4071.7,4040.17,4080.48,4026.63
2022-12-01,4076.57,4087.14,4100.51,4050.87
2022-11-30,4080.11,3957.18,4080.11,3938.58
2022-11-29,3957.63,3964.19,3976.77,3937.65
2022-11-28,3963.94,4005.36,4012.27,3955.77
2022-11-25,4026.12,4023.34,4034.02,4020.76
2022-11-23,4027.26,4000.3,4033.78,3998.66
2022-11-22,4003.58,3965.51,4005.88,3956.88
2022-11-21,3949.94,3956.23,3962.0,3933.34
2022-11-18,3965.34,3966.39,3979.89,3935.98
2022-11-17,3946.56,3919.26,3954.33,3906.54
2022-11-16,3958.79,3976.82,3983.09,3954.34
2022-11-15,3991.73,4006.41,4028.84,3953.17
2022-11-14,3957.25,3977.97,4008.97,3956.4
2022-11-11,3992.93,3963.72,4001.48,3944.82
2022-11-10,3956.37,3859.89,3958.33,3859.89
2022-11-09,3748.57,3810.94,3818.2,3744.22
2022-11-08,3828.11,3817.02,3859.4,3786.28
2022-11-07,3806.8,3780.71,3813.95,3764.7
2022-11-04,3770.55,3766.98,3796.34,3708.84
2022-11-03,3719.89,3733.25,3750.59,3698.15
2022-11-02,3759.69,3852.9,3894.44,3758.68
2022-11-01,3856.1,3901.79,3911.79,3843.8
2022-10-31,3871.98,3881.85,3893.73,3863.18
2022-10-28,3901.06,3808.26,3905.42,3808.26
2022-10-27,3807.3,3834.69,3859.95,3803.79
2022-10-26,3830.6,3825.97,3886.15,3824.07
2022-10-25,3859.11,3799.44,3862.85,3799.44
2022-10-24,3797.34,3762.01,3810.74,3741.65
2022-10-21,3752.75,3657.1,3757.89,3647.42
2022-10-20,3665.78,3689.05,3736.0,3656.44
2022-10-19,3695.16,3703.11,3728.58,3666.51
2022-10-18,3719.98,3746.26,3762.79,3686.53
2022-10-17,3677.95,3638.65,3689.73,3638.65
2022-10-14,3583.07,3690.41,3712.0,3579.68
2022-10-13,3669.91,3520.37,3685.41,3491.58
2022-10-12,3577.03,3590.83,3608.34,3573.86
2022-10-11,3588.84,3595.86,3640.66,3568.45
2022-10-10,3612.39,3647.51,3652.17,3588.1
2022-10-07,3639.66,3706.74,3706.74,3620.73
2022-10-06,3744.52,3771.97,3797.93,3739.22
2022-10-05,3783.28,3753.25,3806.91,3722.66
2022-10-04,3790.93,3726.46,3791.92,3726.46
2022-10-03,3678.43,3609.78,3698.35,3604.93
2022-09-30,3585.62,3633.48,3671.44,3584.13
2022-09-29,3640.47,3687.01,3687.01,3610.4
2022-09-28,3719.04,3651.94,3736.74,3640.61
2022-09-27,3647.29,3686.44,3717.53,3623.29
2022-09-26,3655.04,3682.72,3715.67,3644.76
2022-09-23,3693.23,3727.14,3727.14,3647.47
2022-09-22,3757.99,3782.36,3790.9,3749.45
2022-09-21,3789.93,3871.4,3907.07,3789.49
2022-09-20,3855.93,3875.23,3876.01,3827.54
2022-09-19,3899.89,3849.91,3900.45,3838.5
2022-09-16,3873.33,3880.95,3880.95,3837.08
2022-09-15,3901.35,3932.41,3959.14,3888.28
2022-09-14,3946.01,3940.73,3961.94,3912.18
2022-09-13,3932.69,4037.12,4037.12,3921.28
2022-09-12,4110.41,4083.67,4119.28,4083.67
2022-09-09,4067.36,4022.94,4076.81,4022.94
2022-09-08,4006.18,3959.94,4010.5,3944.81
2022-09-07,3979.87,3909.43,3987.89,3906.03
2022-09-06,3908.19,3930.89,3942.55,3886.75
